address,snapshotAmountWei,claimableWei,manualPayoutWei,recoveryRateWei,extractionBlock
0x79a84b7cbcE04603702CfE5CC4D36a185b9d356b,340750349844784934,340750349844784934,108906503738157038,319607900000000000,25352195
0x80c9aC867b2D36B7e8D74646E074c460a008C0cb,2288746635459966150,2288746635459966150,731501505791425315,319607900000000000,25352195
0x8238D76C364c026281B20f252068b9AE5AD82CE9,51827848951610864,51827848951610864,16564589964941549,319607900000000000,25352195
0x826F5CcDB20044CaF36e31328652c4396bf01E65,783310700881595,783310700881595,250352288156294,319607900000000000,25352195
0x830670349bF77937A9bf2Ae6de47B396A7A57BF8,1103492534847614,1103492534847614,352684931728322,319607900000000000,25352195
0x83E81d747529F0Eb6145b149C438aB7f9BBD651C,2667669452647217806,2667669452647217806,852608231654726723,319607900000000000,25352195
0x84119e837dbeF0f4Fb877681687A2869b220533B,9092989348397587360,9092989348397587360,2906191230363721261,319607900000000000,25352195
0x8f8DbDf48435B61b04a3e15ABb0D7ab3f790b2F5,231526221429510114,231526221429510114,73997609426020725,319607900000000000,25352195
0x9008D19f58AAbD9eD0D60971565AA8510560ab41,355472997546196155,355472997546196155,113611978252444906,319607900000000000,25352195
0x91461bAa27Ff1E0C3916c22E2F68D0E73A82E321,418688549895157528,418688549895157528,133816168186036517,319607900000000000,25352195
0x943fba8542d38556331B5f53239123Dc845f29F6,2172362844182982787,2172362844182982787,694304326667350344,319607900000000000,25352195
0x9544d375f46ed36D41A96cCb6536f73BBa70bD39,102404213536557254,102404213536557254,32729195639570637,319607900000000000,25352195
0x9556AEe1608E68Edf37D6a02AaAEDE479BBB8B41,110007078096904676,110007078096904676,35159131215687699,319607900000000000,25352195
0x95A80dE64b12DB6f2F0606D5A7c25CF85FB4C82E,32560183256217944,32560183256217944,10406491794134979,319607900000000000,25352195
0x965dC72531BC322caB5537d432bB14451cAbb30d,313009146369762,313009146369762,100040195952032,319607900000000000,25352195
0x96A489A533bA0913dD8E507e6D985a45BC783566,41121563154073695,41121563154073695,13142776444390870,319607900000000000,25352195
0x98077a08bEc399f2aa82fE3b8e16817F8F9C6326,11776200711031212210,11776200711031212210,3763766779231192568,319607900000000000,25352195
0x98fcca6C6011d7769eB5A6CCeC1323a80C9E6Ea7,10527617538781056,10527617538781056,3364709733572981,319607900000000000,25352195
0x9BCd841436ef4f85dacefB1aEc772aF71619024e,300000000000000,300000000000000,95882370000000,319607900000000000,25352195
0x9e5D6427D2cdaDC68870197b099C2Df535Ec3c97,626103671030894553,626103671030894553,200107679480475043,319607900000000000,25352195
0x9e684EB706e8146182DEb8a207E96c1Fb884AF03,17575649698313894,17575649698313894,5617316491213737,319607900000000000,25352195
0x9F2650560EDBdf941DF8012a409F9dBb9Ca932a2,54493967510951575,54493967510951575,17416702518843459,319607900000000000,25352195
0xA31f85A74379f19d8ACbcDaa09eA3e60b945cf40,21025212184957760,21025212184957760,6719823913488761,319607900000000000,25352195
0xA3979e4748c1b99c6D1298C3bf5dA9cbb782EF4f,115042060296543844,115042060296543844,36768351303051755,319607900000000000,25352195
0xA446c0bDFd91a6042155a45463032B0cACd246FF,59943364262046732,59943364262046732,19158372770727805,319607900000000000,25352195
0xAc946b1649a7e8DD94b045D0958c15Bec8E98361,23484267089802286,23484267089802286,7505757287610820,319607900000000000,25352195
0xb03F5438f9A243De5C3B830B7841EC315034cD5f,119053656498020610,119053656498020610,38050489140653721,319607900000000000,25352195
0xB16e14bbb1bF89622C43043D7662fe3107D434D4,216868854608444802,216868854608444802,69312999196810365,319607900000000000,25352195
0xB3670Ff91f1bb4bF1D54d883A4D3A6acC7Cc2226,2521712349940518,2521712349940518,805959188568554,319607900000000000,25352195
0xBA12222222228d8Ba445958a75a0704d566BF2C8,63213335681016951,63213335681016951,20203481469004897,319607900000000000,25352195
0xBc5EB6306D0FA5F42D55609E4ad842d62A001503,3051662180613288201,3051662180613288201,975335341055233754,319607900000000000,25352195
0xBfDC8a852532aaf90e93968f1D1Ab48B80E15571,205317373673285,205317373673285,65621054633233,319607900000000000,25352195
0xC0fC3dDfec95ca45A0D2393F518D3EA1ccF44f8b,56501987392469121,56501987392469121,18058481536333531,319607900000000000,25352195
0xC0ffeEBABE5D496B2DDE509f9fa189C25cF29671,1108283603695361,1108283603695361,354216195181506,319607900000000000,25352195
0xC131ABBee8f164f60174130730e954683caEF937,11135171717429629015,11135171717429629015,3558888848747077127,319607900000000000,25352195
0xc261950593B55515069f8761bf5eCD7861845487,241250868400127173,241250868400127173,77105683422541005,319607900000000000,25352195
0xC32dbB18FfE5529d10bfD47aA14122D499810E00,1198867285240934650,1198867285240934650,383167455414556117,319607900000000000,25352195
0xC393fa98109b91fB8C5043D36abaaD061e68a4f2,106732527724378076647,106732527724378076647,34112559047680255883,319607900000000000,25352195
0xc4498dB95f90B43099C6799c99d76404348ECe46,391610088465927275,391610088465927275,125161677993409237,319607900000000000,25352195
0xc74FDCf3996e1d6e07d7e3e1F41ced7A559B5bA4,10017581409842078,10017581409842078,3201698157478665,319607900000000000,25352195
0xCB11d6C568448cAbEC62C2c3469b538Eb37E1341,1528386224971308763,1528386224971308763,488484311752007553,319607900000000000,25352195
0xcb39b35CaC71086E38aBC9dC1c787102A6D6F156,6356806681488076,6356806681488076,2031685634176372,319607900000000000,25352195
0xce88686553686DA562CE7Cea497CE749DA109f9F,108024711375581647,108024711375581647,34525551150855761,319607900000000000,25352195
0xD1Abe5DB14d073883f2084c2aF105652102BDefc,510656679558743,510656679558743,163209908974742,319607900000000000,25352195
0xd888399Bc8a5DdD3F5fCFEEb31B819266C151517,2150462277754164424,2150462277754164424,687304732622225207,319607900000000000,25352195
0xD8F99930426bFD583CB7A594EbE10d07FF8Ff527,781911261966251,781911261966251,249905016423383,319607900000000000,25352195
0xdB4Fb78a5Af0760AD6b8a398600566D9F1C0b5df,346914026157074,346914026157074,110876463380607,319607900000000000,25352195
0xe21A9bC92838fEDB1F1B7A601f526816F28871c2,54493967510951575,54493967510951575,17416702518843459,319607900000000000,25352195
0xE2782A95f32b5BbEE82DBe1ee6Cd6d62ffEEbaD8,67629191377791574,67629191377791574,21614823834954071,319607900000000000,25352195
0xe32e3BD2EC560513CaB4757564cA50D13cAF9F7F,1156504977228365,1156504977228365,369628127111505,319607900000000000,25352195
0xE4000004000bd8006e00720000d27d1FA000d43e,1841640547735810,1841640547735810,588602868016691,319607900000000000,25352195
0xe50AfA2b6751DC59E130344e2EC1327e23EC6b79,49836022298950188,49836022298950188,15927986431320641,319607900000000000,25352195
